episode_index,init_state_id,seed,suite,task_id,task_description,checkpoint,success,episode_length,termination_reason,failure_category,failure_description,sum_reward,max_reward,rollout_wall_s,model_inference_calls,mean_model_inference_ms,median_model_inference_ms,p95_model_inference_ms,video_path
10,40,1040,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,261,success,none,,1.0,1.0,14.628801708575338,27,181.34623534839463,161.17458092048764,219.22403741627932,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/generalization/heldout_initial_states/videos/eval_episode_10.mp4
11,41,1041,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,False,520,episode_horizon_exhausted,episode_horizon_exhausted,No LIBERO success before the configured episode horizon.,0.0,0.0,27.288227831944823,52,177.77583826010903,159.87317357212305,217.8955550538376,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/generalization/heldout_initial_states/videos/eval_episode_11.mp4
12,42,1042,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,313,success,none,,1.0,1.0,16.793773351237178,32,170.6031744251959,159.44444644264877,213.92373656854033,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/generalization/heldout_initial_states/videos/eval_episode_12.mp4
13,43,1043,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,307,success,none,,1.0,1.0,16.7025594022125,31,168.5879495325348,161.2468040548265,204.56245332024992,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/generalization/heldout_initial_states/videos/eval_episode_13.mp4
14,44,1044,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,285,success,none,,1.0,1.0,15.751679746899754,29,173.81273572943334,160.3432628326118,219.2508615553379,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/generalization/heldout_initial_states/videos/eval_episode_14.mp4
15,45,1045,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,279,success,none,,1.0,1.0,15.533693805802613,28,171.7376767192036,160.81941104494035,216.4982874877751,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/generalization/heldout_initial_states/videos/eval_episode_15.mp4
16,46,1046,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,298,success,none,,1.0,1.0,16.36060718400404,30,163.89895984902978,160.32342286780477,193.99039023555812,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/generalization/heldout_initial_states/videos/eval_episode_16.mp4
17,47,1047,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,273,success,none,,1.0,1.0,14.979188279248774,28,163.16293359601073,160.99827853031456,168.12803205102682,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/generalization/heldout_initial_states/videos/eval_episode_17.mp4
18,48,1048,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,250,success,none,,1.0,1.0,13.404009085148573,25,168.61272213980556,161.38834925368428,208.42573819682,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/generalization/heldout_initial_states/videos/eval_episode_18.mp4
19,49,1049,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,False,520,episode_horizon_exhausted,episode_horizon_exhausted,No LIBERO success before the configured episode horizon.,0.0,0.0,27.274080217350274,52,170.57104944251478,160.8829810284078,210.42705241125077,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/generalization/heldout_initial_states/videos/eval_episode_19.mp4
