episode_index,seed,suite,task_id,task_description,checkpoint,success,episode_length,termination_reason,failure_category,failure_description,sum_reward,max_reward,rollout_wall_s,model_inference_calls,mean_model_inference_ms,median_model_inference_ms,p95_model_inference_ms,video_path
10,1010,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,264,success,none,,1.0,1.0,14.343293868005276,27,166.44934759716745,159.92418909445405,201.88466124236584,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_10.mp4
11,1011,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,242,success,none,,1.0,1.0,13.378353260923177,25,163.81633181124926,159.48489075526595,196.49062622338533,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_11.mp4
12,1012,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,259,success,none,,1.0,1.0,14.064137199427933,26,163.0959189317834,159.5045425929129,183.70470241643488,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_12.mp4
13,1013,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,252,success,none,,1.0,1.0,13.502501139882952,26,166.2319723982364,160.95166187733412,195.7297818735242,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_13.mp4
14,1014,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,False,520,episode_horizon_exhausted,episode_horizon_exhausted,No LIBERO success before the configured episode horizon.,0.0,0.0,26.631623405963182,52,173.35704594062497,161.91390622407198,209.46296681649983,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_14.mp4
15,1015,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,303,success,none,,1.0,1.0,16.316233994439244,31,172.28372285382883,161.97575628757477,210.5461684986949,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_15.mp4
16,1016,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,252,success,none,,1.0,1.0,13.828146146144718,26,162.83313564669626,160.41179094463587,172.93654463719577,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_16.mp4
17,1017,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,412,success,none,,1.0,1.0,21.846656457986683,42,170.20920455633174,161.25430795364082,212.4704427551478,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_17.mp4
18,1018,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,False,520,episode_horizon_exhausted,episode_horizon_exhausted,No LIBERO success before the configured episode horizon.,0.0,0.0,27.0104174381122,52,170.24678344695042,161.00367903709412,208.7245291098952,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_18.mp4
19,1019,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,291,success,none,,1.0,1.0,15.96060582716018,30,165.5957150583466,160.49899556674063,195.26721315924073,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_19.mp4
20,1020,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,262,success,none,,1.0,1.0,14.657952575944364,27,174.22668009789453,161.9357760064304,215.98342219367623,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_20.mp4
21,1021,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,272,success,none,,1.0,1.0,14.428068399894983,28,169.6019356438358,160.2375244256109,198.93769626505673,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_21.mp4
22,1022,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,249,success,none,,1.0,1.0,13.53399764187634,25,162.32684751972556,159.36258994042873,185.29428644105784,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_22.mp4
23,1023,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,248,success,none,,1.0,1.0,12.982990733813494,25,172.23900996148586,160.44180002063513,209.42101543769238,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_23.mp4
24,1024,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,304,success,none,,1.0,1.0,15.830612542107701,31,167.14697111878664,159.10307690501213,201.81295950897038,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_24.mp4
25,1025,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,285,success,none,,1.0,1.0,14.874535177834332,29,165.94815353766597,158.8131203316152,199.65666662901637,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_25.mp4
26,1026,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,228,success,none,,1.0,1.0,12.108741199132055,23,165.45433111731774,158.93428679555655,190.60357296839356,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_26.mp4
27,1027,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,331,success,none,,1.0,1.0,17.406310082878917,34,168.3937192428857,159.49234669096768,211.6747765801847,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_27.mp4
28,1028,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,254,success,none,,1.0,1.0,13.704624745994806,26,163.09994554075485,158.87234103865921,190.07465743925422,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_28.mp4
29,1029,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,267,success,none,,1.0,1.0,14.121730698272586,27,165.47020186704617,159.6699352376163,193.20055949501693,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_29.mp4
